item,level,kind,words,components,component_levels,letters,longest_word,spellable
Sewer-hole cover,9,compound,3,sewer + hole + cover,7 + 9 + 7,14,5,yes
Shredded salad,9,compound,2,shredded + salad,4 + 9,13,8,yes
Side table,9,compound,2,side + table,5 + 9,9,5,yes
Silver Bottle Cap,9,compound,3,silver + bottle + cap,7 + 9 + 1,15,6,yes
Simple bread,9,compound,2,simple + bread,9 + 6,11,6,yes
Simple cushion,9,compound,2,simple + cushion,9 + 4,13,7,yes
Simple door,9,compound,2,simple + door,9 + 7,10,6,yes
Simple flooring,9,compound,2,simple + flooring,9 + 8,14,8,yes
Simple hamburger steak,9,compound,3,simple + hamburger + steak,9 + 9 + 6,20,9,yes
Simple pillar quarter,9,compound,3,simple + pillar + quarter,9 + 7 + 7,19,7,yes
Simple salad,9,compound,2,simple + salad,9 + 9,11,6,yes
Simple soup,9,compound,2,simple + soup,9 + 6,10,6,yes
Simple square tiling,9,compound,3,simple + square + tiling,9 + 5 + 9,18,6,yes
Skull Fossil,9,compound,2,skull + fossil,3 + 9,11,6,yes
Slender candle,9,compound,2,slender + candle,7 + 9,13,7,yes
Sloped tiled roof,9,compound,3,sloped + tiled + roof,3 + 9 + 6,15,6,yes
Small lost relic,9,compound,3,small + lost + relic,3 + 1 + 9,14,5,yes
Snowbelle City,9,compound,2,snowbelle + city,8 + 9,13,9,yes
Soda Pop,9,compound,2,soda + pop,9 + 1,7,4,yes
Soda float,9,compound,2,soda + float,9 + 6,9,5,yes
Sootopolis City,9,compound,2,sootopolis + city,9 + 9,14,10,yes
Soul-like Badge,9,compound,3,soul + like + badge,6 + 5 + 9,13,5,yes
Spectator chair,9,compound,2,spectator + chair,9 + 4,14,9,yes
Square tiling,9,compound,2,square + tiling,5 + 9,12,6,yes
Stalactites,9,single,1,,,11,11,yes
Stalagmites,9,single,1,,,11,11,yes
Stone cottage kit,9,compound,3,stone + cottage + kit,5 + 9 + 1,15,7,yes
Stone debris,9,compound,2,stone + debris,5 + 9,11,6,yes
Stone fencing,9,compound,2,stone + fencing,5 + 9,12,7,yes
Stone hipped roof,9,compound,3,stone + hipped + roof,5 + 9 + 6,15,6,yes
Stone roof decoration,9,compound,3,stone + roof + decoration,5 + 6 + 9,19,10,yes
Stone table,9,compound,2,stone + table,5 + 9,10,5,yes
Stone tiling,9,compound,2,stone + tiling,5 + 9,11,6,yes
Straw table,9,compound,2,straw + table,6 + 9,10,5,yes
Stylish hedge,9,compound,2,stylish + hedge,4 + 9,12,7,yes
Stylish tiling,9,compound,2,stylish + tiling,4 + 9,13,7,yes
Substitute doll,9,compound,2,substitute + doll,9 + 2,14,10,yes
Sunny poster,9,compound,2,sunny + poster,9 + 7,11,6,yes
Table setting,9,compound,2,table + setting,9 + 9,12,7,yes
Tablet,9,single,1,,,6,6,yes
Tall potted plant,9,compound,3,tall + potted + plant,2 + 9 + 3,15,6,yes
Tatami mat,9,compound,2,tatami + mat,9 + 1,9,6,yes
Team Rocket wall hanging,9,compound,4,team + rocket + wall + hanging,6 + 9 + 2 + 8,21,7,yes
Television,9,single,1,,,10,10,yes
Tent hipped roof,9,compound,3,tent + hipped + roof,1 + 9 + 6,14,6,yes
Terrain Extender,9,compound,2,terrain + extender,7 + 9,15,8,yes
Thunderish Badge,9,compound,2,thunderish + badge,4 + 9,15,10,yes
Tiled hipped roof,9,compound,3,tiled + hipped + roof,9 + 9 + 6,15,6,yes
Tiled roof decoration,9,compound,3,tiled + roof + decoration,9 + 6 + 9,19,10,yes
Tiled roof valley,9,compound,3,tiled + roof + valley,9 + 6 + 6,15,6,yes
Tinkagear,9,single,1,,,9,9,yes
Tomato,9,single,1,,,6,6,yes
Tomato hamburger steak,9,compound,3,tomato + hamburger + steak,9 + 9 + 6,20,9,yes
Tomato plant,9,compound,2,tomato + plant,9 + 3,11,6,yes
Triangle-design flooring,9,compound,3,triangle + design + flooring,8 + 9 + 8,22,8,yes
Twisted potted plant,9,compound,3,twisted + potted + plant,3 + 9 + 3,18,7,yes
Ultra Ruin,9,compound,2,ultra + ruin,9 + 6,9,5,yes
Union Cave,9,compound,2,union + cave,9 + 5,9,5,yes
Utility pole,9,compound,2,utility + pole,9 + 9,11,7,yes
Vending machine,9,compound,2,vending + machine,9 + 4,14,7,yes
Vermilion City,9,compound,2,vermilion + city,9 + 9,13,9,yes
Vibrant hamburger steak,9,compound,3,vibrant + hamburger + steak,9 + 9 + 6,21,9,yes
Vine wall decoration,9,compound,3,vine + wall + decoration,5 + 2 + 9,18,10,yes
Violet meteor lamp,9,compound,3,violet + meteor + lamp,9 + 7 + 1,16,6,yes
Viridian City,9,compound,2,viridian + city,9 + 9,12,8,yes
Volcanic ash,9,compound,2,volcanic + ash,9 + 4,11,8,yes
Volcanic rock,9,compound,2,volcanic + rock,9 + 1,12,8,yes
Volcanoey Badge,9,compound,2,volcanoey + badge,9 + 9,14,9,yes
Wall calendar,9,compound,2,wall + calendar,2 + 9,12,8,yes
Wall monitor,9,compound,2,wall + monitor,2 + 9,11,7,yes
Water basin,9,compound,2,water + basin,7 + 9,10,5,yes
Weakness Policy,9,compound,2,weakness + policy,6 + 9,14,8,yes
Wiggly mirror,9,compound,2,wiggly + mirror,9 + 7,12,6,yes
Wireless power transmitter,9,compound,3,wireless + power + transmitter,8 + 7 + 9,24,11,yes
Wireless power-transmitter switch,9,compound,4,wireless + power + transmitter + switch,8 + 7 + 9 + 4,30,11,yes
Wobbuffet wobbler,9,compound,2,wobbuffet + wobbler,9 + 7,16,9,yes
Wooden enclosure,9,compound,2,wooden + enclosure,6 + 9,15,9,yes
Wooden fencing,9,compound,2,wooden + fencing,6 + 9,13,7,yes
Wooden partition,9,compound,2,wooden + partition,6 + 9,15,9,yes
Wooden posts,9,compound,2,wooden + posts,6 + 9,11,6,yes
Wooden table,9,compound,2,wooden + table,6 + 9,11,6,yes
Woven carpeting,9,compound,2,woven + carpeting,9 + 8,14,9,yes
Wyndon,9,single,1,,,6,6,yes
Yellow cottage kit,9,compound,3,yellow + cottage + kit,6 + 9 + 1,16,7,yes
Hau'oli City,,,,,,10,,no
Mt. Coronet,,,,,,9,,no
Mt. Moon,,,,,,6,,no
Pokémetal,,,,,,8,,no
Pokémetal fragment,,,,,,16,,no
Pokémon Center counter,,,,,,19,,no
Professor's treasure trove,,,,,,23,,no
Rare Pokémetal,,,,,,12,,no
Rare Pokémetal fragment,,,,,,20,,no
Route 209,,,,,,5,,no
Ship’s wheel,,,,,,10,,no
Silph Co.,,,,,,7,,no
Stylish café kit,,,,,,13,,no
